Button Type;Card Id;Cards;
Timer;1;3,176471;
Timer;2;3,219541;
Timer;3;3,519583;
Timer;4;3,455737;
Timer;5;4,667523;
Timer;6;2,960991;
Timer;7;3,060527;
Timer;8;5,088867;
Timer;9;7,453138;
Timer;10;6,052549;
ThreeDots;1;3,55988;
ThreeDots;2;3,66962;
ThreeDots;3;3,120945;
ThreeDots;4;3,0959;
ThreeDots;5;3,092993;
ThreeDots;6;5,118299;
ThreeDots;7;4,32068;
ThreeDots;8;5,991178;
ThreeDots;9;7,322686;
ThreeDots;10;7,462819;
Arrows;1;2,841098;
Arrows;2;4,226387;
Arrows;3;2,688659;
Arrows;4;2,6147;
Arrows;5;4,939559;
Arrows;6;5,316;
Arrows;7;5,920987;
Arrows;8;6,694291;
Arrows;9;7,271093;
Arrows;10;5,186048;
DragCircle;1;3,883313;
DragCircle;2;3,493725;
DragCircle;3;3,132957;
DragCircle;4;4,436493;
DragCircle;5;5,986451;
DragCircle;6;5,797599;
DragCircle;7;4,120389;
DragCircle;8;5,739618;
DragCircle;9;3,832243;
DragCircle;10;5,87958;
