Button Type;Card Id;Cards;
Timer;1;3.410855;
Timer;2;4.322848;
Timer;3;2.166951;
Timer;4;3.074469;
Timer;5;2.42481;
Timer;6;3.112475;
Timer;7;2.34354;
Timer;8;2.726388;
Timer;9;2.557249;
Timer;10;2.441294;
ThreeDots;1;3.125067;
ThreeDots;2;4.977893;
ThreeDots;3;2.720541;
ThreeDots;4;2.65183;
ThreeDots;5;2.342968;
ThreeDots;6;3.601732;
ThreeDots;7;2.159213;
ThreeDots;8;2.909366;
ThreeDots;9;2.644168;
ThreeDots;10;2.915463;
Arrows;1;2.354127;
Arrows;2;3.858725;
Arrows;3;2.221622;
Arrows;4;2.069125;
Arrows;5;1.934542;
Arrows;6;2.739652;
Arrows;7;1.633063;
Arrows;8;2.379104;
Arrows;9;1.942899;
Arrows;10;1.881939;
DragCircle;1;2.265731;
DragCircle;2;4.264588;
DragCircle;3;2.025092;
DragCircle;4;3.253749;
DragCircle;5;2.114673;
DragCircle;6;3.162735;
DragCircle;7;2.264858;
DragCircle;8;2.732086;
DragCircle;9;2.188191;
DragCircle;10;2.209707;
TableDisplay;1;0;
TableDisplay;2;0;
TableDisplay;3;0;
TableDisplay;4;0;
TableDisplay;5;0;
PlayerCenteredDisplay;1;0;
PlayerCenteredDisplay;2;0;
PlayerCenteredDisplay;3;0;
PlayerCenteredDisplay;4;0;
PlayerCenteredDisplay;5;0;
PlayerCenteredDisplayFixedAngle;1;0;
PlayerCenteredDisplayFixedAngle;2;0;
PlayerCenteredDisplayFixedAngle;3;0;
PlayerCenteredDisplayFixedAngle;4;0;
PlayerCenteredDisplayFixedAngle;5;0;
PCDText;1;0;
PCDText;2;0;
PCDText;3;0;
PCDText;4;0;
PCDText;5;0;
