Button Type;Card Id;Cards;
Timer;1;3,446584;
Timer;2;3,277269;
Timer;3;3,793017;
Timer;4;3,476861;
Timer;5;4,875302;
Timer;6;2,779332;
Timer;7;3,385405;
Timer;8;4,869878;
Timer;9;14,48733;
Timer;10;8,012326;
ThreeDots;1;3,575247;
ThreeDots;2;3,386224;
ThreeDots;3;3,02147;
ThreeDots;4;2,69717;
ThreeDots;5;2,861871;
ThreeDots;6;3,066787;
ThreeDots;7;2,576913;
ThreeDots;8;4,341702;
ThreeDots;9;7,497061;
ThreeDots;10;7,543272;
Arrows;1;2,621801;
Arrows;2;5,066287;
Arrows;3;2,573785;
Arrows;4;2,310798;
Arrows;5;5,850089;
Arrows;6;3,939122;
Arrows;7;4,712852;
Arrows;8;5,030443;
Arrows;9;5,959475;
Arrows;10;3,437087;
DragCircle;1;3,817862;
DragCircle;2;3,411;
DragCircle;3;2,57999;
DragCircle;4;2,779795;
DragCircle;5;6,582094;
DragCircle;6;4,754551;
DragCircle;7;4,773973;
DragCircle;8;5,937533;
DragCircle;9;3,134717;
DragCircle;10;4,257235;
