Button Type;Card Id;Cards;
ThreeDots;1;8,078856;
ThreeDots;2;2,613354;
ThreeDots;3;4,479767;
ThreeDots;4;4,131794;
ThreeDots;5;3,359234;
ThreeDots;6;3,707214;
ThreeDots;7;2,478363;
ThreeDots;8;11,41162;
ThreeDots;9;3,893059;
ThreeDots;10;7,279732;
DragCircle;1;3,092987;
DragCircle;2;3,251953;
DragCircle;3;4,372101;
DragCircle;4;2,906952;
DragCircle;5;2,77269;
DragCircle;6;2,746338;
DragCircle;7;4,021805;
DragCircle;8;14,93196;
DragCircle;9;4,131607;
DragCircle;10;2,079697;
Arrows;1;2,133865;
Arrows;2;2,160172;
Arrows;3;4,425934;
Arrows;4;3,54538;
Arrows;5;5,758881;
Arrows;6;2,985031;
Arrows;7;6,052597;
Arrows;8;2,984314;
Arrows;9;5,333221;
Arrows;10;5,678497;
Timer;1;2,960663;
Timer;2;4,105286;
Timer;3;2,77243;
Timer;4;2,610352;
Timer;5;3,119354;
Timer;6;3,493042;
Timer;7;3,360779;
Timer;8;7,598907;
Timer;9;4,453827;
Timer;10;7,146545;
