Button Type;Card Id;Cards;
ThreeDots;1;4,666061;
ThreeDots;2;7,172417;
ThreeDots;3;2,533539;
ThreeDots;4;1,999039;
ThreeDots;5;3,30629;
ThreeDots;6;7,652634;
ThreeDots;7;3,307144;
ThreeDots;8;3,279785;
ThreeDots;9;3,008881;
ThreeDots;10;4,42569;
DragCircle;1;1,752579;
DragCircle;2;6,372574;
DragCircle;3;2,425644;
DragCircle;4;1,652557;
DragCircle;5;1,999908;
DragCircle;6;2,965378;
DragCircle;7;2,507431;
DragCircle;8;2,501846;
DragCircle;9;2,852249;
DragCircle;10;3,119873;
Timer;1;5,150513;
Timer;2;3,787476;
Timer;3;2,346649;
Timer;4;2,586792;
Timer;5;3,359406;
Timer;6;3,485504;
Timer;7;2,267761;
Timer;8;2,986603;
Timer;9;2,425354;
Timer;10;1,94696;
Arrows;1;1,652405;
Arrows;2;4,452026;
Arrows;3;1,706573;
Arrows;4;2,720398;
Arrows;5;1,572052;
Arrows;6;2,105927;
Arrows;7;1,70697;
Arrows;8;2,399506;
Arrows;9;1,626892;
Arrows;10;1,973541;
